Country Name,Id,Indicator Name,Value,Year
Croatia,6048,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Croatia,6053,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Croatia,6092,"External debt stocks, total (DOD, current US$)",n/a,1996
Haiti,6109,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",25201970.3,1996
Haiti,6114,"Debt service on external debt, total (TDS, current US$)",31026595.6,1996
Haiti,6153,"External debt stocks, total (DOD, current US$)",924237596.4,1996
Hungary,6170,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Hungary,6175,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Hungary,6214,"External debt stocks, total (DOD, current US$)",n/a,1996
Indonesia,6475,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",11749429490,1996
Indonesia,6480,"Debt service on external debt, total (TDS, current US$)",21545157490,1996
Indonesia,6519,"External debt stocks, total (DOD, current US$)",1.29E+11,1996
Isle of Man,6597,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Isle of Man,6602,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Isle of Man,6641,"External debt stocks, total (DOD, current US$)",n/a,1996
India,6658,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",9698495667,1996
India,6663,"Debt service on external debt, total (TDS, current US$)",11705406721,1996
India,6702,"External debt stocks, total (DOD, current US$)",93966076366,1996
Ireland,6780,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Ireland,6785,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Ireland,6824,"External debt stocks, total (DOD, current US$)",n/a,1996
"Iran, Islamic Rep.",6841,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6201539701,1996
"Iran, Islamic Rep.",6846,"Debt service on external debt, total (TDS, current US$)",6468416701,1996
"Iran, Islamic Rep.",6885,"External debt stocks, total (DOD, current US$)",16684178793,1996
Iraq,6902,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Iraq,6907,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Iraq,6946,"External debt stocks, total (DOD, current US$)",n/a,1996
Iceland,6963,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Iceland,6968,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Iceland,7007,"External debt stocks, total (DOD, current US$)",n/a,1996
Israel,7024,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Israel,7029,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Israel,7068,"External debt stocks, total (DOD, current US$)",n/a,1996
Italy,7085,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Italy,7090,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Italy,7129,"External debt stocks, total (DOD, current US$)",n/a,1996
Jamaica,7146,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",537105938.6,1996
Jamaica,7151,"Debt service on external debt, total (TDS, current US$)",659381873.5,1996
Jamaica,7190,"External debt stocks, total (DOD, current US$)",4101953170,1996
Jordan,7207,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",908664323.3,1996
Jordan,7212,"Debt service on external debt, total (TDS, current US$)",977606369.6,1996
Jordan,7251,"External debt stocks, total (DOD, current US$)",7379761663,1996
Japan,7268,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Japan,7273,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Japan,7312,"External debt stocks, total (DOD, current US$)",n/a,1996
Kazakhstan,7329,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",245545233.7,1996
Kazakhstan,7334,"Debt service on external debt, total (TDS, current US$)",322308733.8,1996
Kazakhstan,7373,"External debt stocks, total (DOD, current US$)",2922220065,1996
Kenya,7390,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",643286912.2,1996
Kenya,7395,"Debt service on external debt, total (TDS, current US$)",837686593.4,1996
Kenya,7434,"External debt stocks, total (DOD, current US$)",6813721635,1996
Kyrgyz Republic,7451,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",43421175.4,1996
Kyrgyz Republic,7456,"Debt service on external debt, total (TDS, current US$)",74235941.8,1996
Kyrgyz Republic,7495,"External debt stocks, total (DOD, current US$)",1136989888,1996
Cambodia,7512,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6747805.6,1996
Cambodia,7517,"Debt service on external debt, total (TDS, current US$)",7456276.7,1996
Cambodia,7556,"External debt stocks, total (DOD, current US$)",1916699701,1996
Kiribati,7573,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Kiribati,7578,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Kiribati,7617,"External debt stocks, total (DOD, current US$)",n/a,1996
St. Kitts and Nevis,7634,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",6757000,1996
St. Kitts and Nevis,7639,"Debt service on external debt, total (TDS, current US$)",n/a,1996
St. Kitts and Nevis,7678,"External debt stocks, total (DOD, current US$)",n/a,1996
"Korea, Rep.",7695,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
"Korea, Rep.",7700,"Debt service on external debt, total (TDS, current US$)",n/a,1996
"Korea, Rep.",7739,"External debt stocks, total (DOD, current US$)",n/a,1996
Kuwait,7756,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Kuwait,7761,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Kuwait,7800,"External debt stocks, total (DOD, current US$)",n/a,1996
Lao PDR,7878,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",25251489.9,1996
Lao PDR,7883,"Debt service on external debt, total (TDS, current US$)",28560108,1996
Lao PDR,7922,"External debt stocks, total (DOD, current US$)",2258225068,1996
Lebanon,7939,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",217344615.3,1996
Lebanon,7944,"Debt service on external debt, total (TDS, current US$)",302244615.3,1996
Lebanon,7983,"External debt stocks, total (DOD, current US$)",4019242813,1996
Liberia,8000,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",368494.3,1996
Liberia,8005,"Debt service on external debt, total (TDS, current US$)",1429749.2,1996
Liberia,8044,"External debt stocks, total (DOD, current US$)",2423875945,1996
Libya,8061,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Libya,8066,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Libya,8105,"External debt stocks, total (DOD, current US$)",n/a,1996
